[INFO] [1641491431.375897, 2.010000]: publishing the poses
[INFO] [1641491432.377595, 3.010000]: publishing the poses
[INFO] [1641491433.385664, 4.010000]: publishing the poses
[INFO] [1641491434.388445, 5.010000]: publishing the poses
[INFO] [1641491435.396955, 6.010000]: publishing the poses
[INFO] [1641491436.401511, 7.010000]: publishing the poses
[INFO] [1641491437.410089, 8.010000]: publishing the poses
[INFO] [1641491438.423881, 9.010000]: publishing the poses
[INFO] [1641491439.430053, 10.010000]: publishing the poses
[INFO] [1641491440.433599, 11.010000]: publishing the poses
[INFO] [1641491441.436442, 12.010000]: publishing the poses
[INFO] [1641491442.443581, 13.010000]: publishing the poses
[INFO] [1641491443.447151, 14.010000]: publishing the poses
[INFO] [1641491444.453501, 15.010000]: publishing the poses
[INFO] [1641491445.458139, 16.010000]: publishing the poses
[INFO] [1641491446.465570, 17.010000]: publishing the poses
[INFO] [1641491447.477804, 18.010000]: publishing the poses
[INFO] [1641491448.483898, 19.010000]: publishing the poses
[INFO] [1641491449.487814, 20.010000]: publishing the poses
[INFO] [1641491450.492628, 21.010000]: publishing the poses
[INFO] [1641491451.501544, 22.010000]: publishing the poses
[INFO] [1641491452.506294, 23.010000]: publishing the poses
[INFO] [1641491453.510372, 24.010000]: publishing the poses
[INFO] [1641491454.515830, 25.010000]: publishing the poses
[INFO] [1641491455.518463, 26.010000]: publishing the poses
[INFO] [1641491456.528356, 27.010000]: publishing the poses
[INFO] [1641491457.533683, 28.010000]: publishing the poses
[INFO] [1641491458.543497, 29.010000]: publishing the poses
[INFO] [1641491459.546561, 30.010000]: publishing the poses
[INFO] [1641491460.551651, 31.010000]: publishing the poses
[INFO] [1641491461.556641, 32.010000]: publishing the poses
[INFO] [1641491462.558945, 33.010000]: publishing the poses
[INFO] [1641491463.562394, 34.010000]: publishing the poses
[INFO] [1641491464.566468, 35.010000]: publishing the poses
[INFO] [1641491465.569655, 36.010000]: publishing the poses
[INFO] [1641491466.574538, 37.010000]: publishing the poses
[INFO] [1641491467.577493, 38.010000]: publishing the poses
[INFO] [1641491468.579637, 39.010000]: publishing the poses
[INFO] [1641491469.582996, 40.010000]: publishing the poses
[INFO] [1641491470.585702, 41.010000]: publishing the poses
[INFO] [1641491471.590757, 42.010000]: publishing the poses
[INFO] [1641491472.595268, 43.010000]: publishing the poses
[INFO] [1641491473.599881, 44.010000]: publishing the poses
[INFO] [1641491474.604855, 45.010000]: publishing the poses
[INFO] [1641491475.611576, 46.010000]: publishing the poses
[INFO] [1641491476.615743, 47.010000]: publishing the poses
[INFO] [1641491477.618545, 48.010000]: publishing the poses
