[INFO] [1641471452.756700, 3167.685000]: publishing the poses
[INFO] [1641471453.767608, 3168.685000]: publishing the poses
[INFO] [1641471454.775181, 3169.685000]: publishing the poses
[INFO] [1641471455.778356, 3170.685000]: publishing the poses
[INFO] [1641471456.779923, 3171.685000]: publishing the poses
[INFO] [1641471457.783511, 3172.685000]: publishing the poses
[INFO] [1641471458.789081, 3173.685000]: publishing the poses
[INFO] [1641471459.793821, 3174.685000]: publishing the poses
[INFO] [1641471460.797687, 3175.685000]: publishing the poses
[INFO] [1641471461.800541, 3176.685000]: publishing the poses
[INFO] [1641471462.803226, 3177.685000]: publishing the poses
[INFO] [1641471463.806023, 3178.685000]: publishing the poses
[INFO] [1641471464.809143, 3179.685000]: publishing the poses
[INFO] [1641471465.812270, 3180.685000]: publishing the poses
[INFO] [1641471466.816043, 3181.685000]: publishing the poses
[INFO] [1641471467.820014, 3182.685000]: publishing the poses
[INFO] [1641471468.824129, 3183.685000]: publishing the poses
[INFO] [1641471469.829225, 3184.685000]: publishing the poses
[INFO] [1641471470.833891, 3185.685000]: publishing the poses
[INFO] [1641471471.838210, 3186.685000]: publishing the poses
[INFO] [1641471472.841284, 3187.685000]: publishing the poses
[INFO] [1641471473.844023, 3188.685000]: publishing the poses
[INFO] [1641471474.848760, 3189.685000]: publishing the poses
[INFO] [1641471475.854655, 3190.685000]: publishing the poses
[INFO] [1641471476.860041, 3191.685000]: publishing the poses
[INFO] [1641471477.863866, 3192.685000]: publishing the poses
[INFO] [1641471478.867338, 3193.685000]: publishing the poses
[INFO] [1641471479.876511, 3194.685000]: publishing the poses
[INFO] [1641471480.879975, 3195.685000]: publishing the poses
[INFO] [1641471481.889981, 3196.685000]: publishing the poses
[INFO] [1641471482.893781, 3197.685000]: publishing the poses
[INFO] [1641471483.926075, 3198.685000]: publishing the poses
[INFO] [1641471484.928747, 3199.685000]: publishing the poses
[INFO] [1641471485.931093, 3200.685000]: publishing the poses
[INFO] [1641471486.933059, 3201.685000]: publishing the poses
[INFO] [1641471487.935109, 3202.685000]: publishing the poses
[INFO] [1641471488.937202, 3203.685000]: publishing the poses
[INFO] [1641471489.938922, 3204.685000]: publishing the poses
[INFO] [1641471490.942017, 3205.685000]: publishing the poses
[INFO] [1641471491.943779, 3206.685000]: publishing the poses
[INFO] [1641471492.945720, 3207.685000]: publishing the poses
[INFO] [1641471493.948054, 3208.685000]: publishing the poses
[INFO] [1641471494.949886, 3209.685000]: publishing the poses
[INFO] [1641471495.952558, 3210.685000]: publishing the poses
[INFO] [1641471496.955790, 3211.685000]: publishing the poses
[INFO] [1641471497.958343, 3212.685000]: publishing the poses
