[INFO] [1641547381.403417, 71.947000]: publishing the poses
[INFO] [1641547382.430701, 72.947000]: publishing the poses
[INFO] [1641547383.435619, 73.947000]: publishing the poses
[INFO] [1641547384.443307, 74.947000]: publishing the poses
[INFO] [1641547385.444855, 75.947000]: publishing the poses
[INFO] [1641547386.448906, 76.947000]: publishing the poses
[INFO] [1641547387.451879, 77.947000]: publishing the poses
[INFO] [1641547388.453925, 78.947000]: publishing the poses
[INFO] [1641547389.456932, 79.947000]: publishing the poses
[INFO] [1641547390.462574, 80.947000]: publishing the poses
[INFO] [1641547391.466813, 81.947000]: publishing the poses
[INFO] [1641547392.468624, 82.947000]: publishing the poses
[INFO] [1641547393.470918, 83.947000]: publishing the poses
[INFO] [1641547394.472114, 84.947000]: publishing the poses
[INFO] [1641547395.474942, 85.947000]: publishing the poses
[INFO] [1641547396.477191, 86.947000]: publishing the poses
[INFO] [1641547397.482103, 87.947000]: publishing the poses
[INFO] [1641547398.482683, 88.947000]: publishing the poses
[INFO] [1641547399.499275, 89.947000]: publishing the poses
[INFO] [1641547400.517578, 90.947000]: publishing the poses
[INFO] [1641547401.518662, 91.947000]: publishing the poses
[INFO] [1641547402.519707, 92.947000]: publishing the poses
[INFO] [1641547403.523849, 93.947000]: publishing the poses
[INFO] [1641547404.526018, 94.947000]: publishing the poses
[INFO] [1641547405.527622, 95.947000]: publishing the poses
[INFO] [1641547406.528964, 96.947000]: publishing the poses
[INFO] [1641547407.531940, 97.947000]: publishing the poses
[INFO] [1641547408.537459, 98.947000]: publishing the poses
[INFO] [1641547409.540099, 99.947000]: publishing the poses
[INFO] [1641547410.542837, 100.947000]: publishing the poses
[INFO] [1641547411.544828, 101.947000]: publishing the poses
[INFO] [1641547412.546767, 102.947000]: publishing the poses
[INFO] [1641547413.550344, 103.947000]: publishing the poses
[INFO] [1641547414.551977, 104.947000]: publishing the poses
[INFO] [1641547415.554864, 105.947000]: publishing the poses
[INFO] [1641547416.556743, 106.947000]: publishing the poses
[INFO] [1641547417.558989, 107.947000]: publishing the poses
[INFO] [1641547418.561073, 108.947000]: publishing the poses
[INFO] [1641547419.562290, 109.947000]: publishing the poses
[INFO] [1641547420.566360, 110.947000]: publishing the poses
[INFO] [1641547421.567964, 111.947000]: publishing the poses
[INFO] [1641547422.569879, 112.947000]: publishing the poses
[INFO] [1641547423.573093, 113.947000]: publishing the poses
[INFO] [1641547424.577807, 114.947000]: publishing the poses
[INFO] [1641547425.581444, 115.947000]: publishing the poses
[INFO] [1641547426.583554, 116.947000]: publishing the poses
[INFO] [1641547427.585615, 117.947000]: publishing the poses
[INFO] [1641547428.588800, 118.947000]: publishing the poses
[INFO] [1641547429.590721, 119.947000]: publishing the poses
[INFO] [1641547430.592501, 120.947000]: publishing the poses
[INFO] [1641547431.595050, 121.947000]: publishing the poses
[INFO] [1641547432.600494, 122.947000]: publishing the poses
[INFO] [1641547433.603424, 123.947000]: publishing the poses
[INFO] [1641547434.608941, 124.947000]: publishing the poses
[INFO] [1641547435.610658, 125.947000]: publishing the poses
[INFO] [1641547436.612717, 126.947000]: publishing the poses
[INFO] [1641547437.614812, 127.947000]: publishing the poses
[INFO] [1641547438.617789, 128.947000]: publishing the poses
[INFO] [1641547439.619171, 129.947000]: publishing the poses
[INFO] [1641547440.620819, 130.947000]: publishing the poses
[INFO] [1641547441.623757, 131.947000]: publishing the poses
[INFO] [1641547442.626159, 132.947000]: publishing the poses
[INFO] [1641547443.628298, 133.947000]: publishing the poses
[INFO] [1641547444.629488, 134.947000]: publishing the poses
[INFO] [1641547445.631814, 135.947000]: publishing the poses
[INFO] [1641547446.633962, 136.947000]: publishing the poses
[INFO] [1641547447.635449, 137.947000]: publishing the poses
[INFO] [1641547448.651767, 138.947000]: publishing the poses
[INFO] [1641547449.652892, 139.947000]: publishing the poses
[INFO] [1641547450.654840, 140.947000]: publishing the poses
[INFO] [1641547451.657531, 141.947000]: publishing the poses
[INFO] [1641547452.659508, 142.947000]: publishing the poses
[INFO] [1641547453.662836, 143.947000]: publishing the poses
[INFO] [1641547454.665871, 144.947000]: publishing the poses
[INFO] [1641547455.670804, 145.947000]: publishing the poses
[INFO] [1641547456.674770, 146.947000]: publishing the poses
[INFO] [1641547457.677039, 147.947000]: publishing the poses
[INFO] [1641547458.679730, 148.947000]: publishing the poses
[INFO] [1641547459.680851, 149.947000]: publishing the poses
[INFO] [1641547460.683337, 150.947000]: publishing the poses
[INFO] [1641547461.685500, 151.947000]: publishing the poses
[INFO] [1641547462.687980, 152.947000]: publishing the poses
[INFO] [1641547463.689989, 153.947000]: publishing the poses
[INFO] [1641547464.691963, 154.947000]: publishing the poses
[INFO] [1641547465.693947, 155.947000]: publishing the poses
[INFO] [1641547466.695750, 156.947000]: publishing the poses
[INFO] [1641547467.698762, 157.947000]: publishing the poses
[INFO] [1641547468.701932, 158.947000]: publishing the poses
[INFO] [1641547469.704598, 159.947000]: publishing the poses
[INFO] [1641547470.708532, 160.947000]: publishing the poses
[INFO] [1641547471.710901, 161.947000]: publishing the poses
[INFO] [1641547472.712791, 162.947000]: publishing the poses
[INFO] [1641547473.715477, 163.947000]: publishing the poses
[INFO] [1641547474.717638, 164.947000]: publishing the poses
[INFO] [1641547475.719469, 165.947000]: publishing the poses
[INFO] [1641547476.721892, 166.947000]: publishing the poses
[INFO] [1641547477.724721, 167.947000]: publishing the poses
[INFO] [1641547478.728405, 168.947000]: publishing the poses
[INFO] [1641547479.730824, 169.947000]: publishing the poses
[INFO] [1641547480.733845, 170.947000]: publishing the poses
[INFO] [1641547481.738835, 171.947000]: publishing the poses
[INFO] [1641547482.741471, 172.947000]: publishing the poses
[INFO] [1641547483.743746, 173.947000]: publishing the poses
[INFO] [1641547484.747572, 174.947000]: publishing the poses
[INFO] [1641547485.748582, 175.947000]: publishing the poses
[INFO] [1641547486.754768, 176.947000]: publishing the poses
[INFO] [1641547487.756622, 177.947000]: publishing the poses
[INFO] [1641547488.760277, 178.947000]: publishing the poses
[INFO] [1641547489.761874, 179.947000]: publishing the poses
[INFO] [1641547490.764327, 180.947000]: publishing the poses
[INFO] [1641547491.766882, 181.947000]: publishing the poses
[INFO] [1641547492.768405, 182.947000]: publishing the poses
[INFO] [1641547493.770159, 183.947000]: publishing the poses
[INFO] [1641547494.772127, 184.947000]: publishing the poses
[INFO] [1641547495.775861, 185.947000]: publishing the poses
[INFO] [1641547496.778694, 186.947000]: publishing the poses
[INFO] [1641547497.780657, 187.947000]: publishing the poses
[INFO] [1641547498.782711, 188.947000]: publishing the poses
[INFO] [1641547499.784871, 189.947000]: publishing the poses
[INFO] [1641547500.786934, 190.947000]: publishing the poses
[INFO] [1641547501.789210, 191.947000]: publishing the poses
[INFO] [1641547502.791375, 192.947000]: publishing the poses
[INFO] [1641547503.792488, 193.947000]: publishing the poses
[INFO] [1641547504.795511, 194.947000]: publishing the poses
[INFO] [1641547505.796993, 195.947000]: publishing the poses
[INFO] [1641547506.798730, 196.947000]: publishing the poses
[INFO] [1641547507.800784, 197.947000]: publishing the poses
[INFO] [1641547508.804215, 198.947000]: publishing the poses
[INFO] [1641547509.805379, 199.947000]: publishing the poses
[INFO] [1641547510.807518, 200.947000]: publishing the poses
[INFO] [1641547511.810651, 201.947000]: publishing the poses
[INFO] [1641547512.812142, 202.947000]: publishing the poses
[INFO] [1641547513.814660, 203.947000]: publishing the poses
[INFO] [1641547514.816348, 204.947000]: publishing the poses
[INFO] [1641547515.817750, 205.947000]: publishing the poses
[INFO] [1641547516.820290, 206.947000]: publishing the poses
[INFO] [1641547517.822212, 207.947000]: publishing the poses
[INFO] [1641547518.824460, 208.947000]: publishing the poses
[INFO] [1641547519.825778, 209.947000]: publishing the poses
[INFO] [1641547520.828633, 210.947000]: publishing the poses
[INFO] [1641547521.830875, 211.947000]: publishing the poses
[INFO] [1641547522.832863, 212.947000]: publishing the poses
[INFO] [1641547523.835948, 213.947000]: publishing the poses
[INFO] [1641547524.838388, 214.947000]: publishing the poses
[INFO] [1641547525.839576, 215.947000]: publishing the poses
[INFO] [1641547526.842155, 216.947000]: publishing the poses
[INFO] [1641547527.842817, 217.947000]: publishing the poses
[INFO] [1641547528.845448, 218.947000]: publishing the poses
[INFO] [1641547529.848101, 219.947000]: publishing the poses
[INFO] [1641547530.850036, 220.947000]: publishing the poses
[INFO] [1641547531.852677, 221.947000]: publishing the poses
[INFO] [1641547532.856670, 222.947000]: publishing the poses
[INFO] [1641547533.859065, 223.947000]: publishing the poses
[INFO] [1641547534.863872, 224.947000]: publishing the poses
[INFO] [1641547535.868440, 225.947000]: publishing the poses
[INFO] [1641547536.872588, 226.947000]: publishing the poses
[INFO] [1641547537.873563, 227.947000]: publishing the poses
[INFO] [1641547538.876881, 228.947000]: publishing the poses
[INFO] [1641547539.878048, 229.947000]: publishing the poses
[INFO] [1641547540.880576, 230.947000]: publishing the poses
[INFO] [1641547541.881661, 231.947000]: publishing the poses
[INFO] [1641547542.883925, 232.947000]: publishing the poses
[INFO] [1641547543.885747, 233.947000]: publishing the poses
[INFO] [1641547544.888920, 234.947000]: publishing the poses
[INFO] [1641547545.890425, 235.947000]: publishing the poses
[INFO] [1641547546.893094, 236.947000]: publishing the poses
[INFO] [1641547547.895432, 237.947000]: publishing the poses
[INFO] [1641547548.896888, 238.947000]: publishing the poses
[INFO] [1641547549.898478, 239.947000]: publishing the poses
[INFO] [1641547550.901520, 240.947000]: publishing the poses
[INFO] [1641547551.904044, 241.947000]: publishing the poses
[INFO] [1641547552.907998, 242.947000]: publishing the poses
[INFO] [1641547553.910196, 243.947000]: publishing the poses
[INFO] [1641547554.911739, 244.947000]: publishing the poses
[INFO] [1641547555.913523, 245.947000]: publishing the poses
[INFO] [1641547556.916992, 246.947000]: publishing the poses
[INFO] [1641547557.920672, 247.947000]: publishing the poses
[INFO] [1641547558.922460, 248.947000]: publishing the poses
[INFO] [1641547559.924730, 249.947000]: publishing the poses
[INFO] [1641547560.926562, 250.947000]: publishing the poses
[INFO] [1641547561.927729, 251.947000]: publishing the poses
[INFO] [1641547562.931580, 252.947000]: publishing the poses
[INFO] [1641547563.932835, 253.947000]: publishing the poses
[INFO] [1641547564.934921, 254.947000]: publishing the poses
[INFO] [1641547565.936630, 255.947000]: publishing the poses
[INFO] [1641547566.939062, 256.947000]: publishing the poses
[INFO] [1641547567.940866, 257.947000]: publishing the poses
[INFO] [1641547568.943836, 258.947000]: publishing the poses
[INFO] [1641547569.945976, 259.947000]: publishing the poses
[INFO] [1641547570.949021, 260.947000]: publishing the poses
[INFO] [1641547571.952688, 261.947000]: publishing the poses
[INFO] [1641547572.954903, 262.947000]: publishing the poses
[INFO] [1641547573.956803, 263.947000]: publishing the poses
[INFO] [1641547574.959138, 264.947000]: publishing the poses
[INFO] [1641547575.961406, 265.947000]: publishing the poses
[INFO] [1641547576.963096, 266.947000]: publishing the poses
[INFO] [1641547577.964735, 267.947000]: publishing the poses
[INFO] [1641547578.966676, 268.947000]: publishing the poses
[INFO] [1641547579.968725, 269.947000]: publishing the poses
[INFO] [1641547581.029848, 270.947000]: publishing the poses
[INFO] [1641547582.065911, 271.947000]: publishing the poses
[INFO] [1641547583.133151, 272.947000]: publishing the poses
[INFO] [1641547584.202803, 273.947000]: publishing the poses
[INFO] [1641547585.284208, 274.947000]: publishing the poses
[INFO] [1641547586.360516, 275.948000]: publishing the poses
[INFO] [1641547587.418161, 276.947000]: publishing the poses
[INFO] [1641547588.464740, 277.947000]: publishing the poses
[INFO] [1641547589.468333, 278.947000]: publishing the poses
[INFO] [1641547590.472959, 279.947000]: publishing the poses
[INFO] [1641547591.476809, 280.947000]: publishing the poses
[INFO] [1641547592.477817, 281.947000]: publishing the poses
[INFO] [1641547593.480934, 282.947000]: publishing the poses
[INFO] [1641547594.482802, 283.947000]: publishing the poses
[INFO] [1641547595.483548, 284.947000]: publishing the poses
[INFO] [1641547596.487612, 285.947000]: publishing the poses
[INFO] [1641547597.488887, 286.947000]: publishing the poses
[INFO] [1641547598.491766, 287.947000]: publishing the poses
[INFO] [1641547599.501564, 288.947000]: publishing the poses
[INFO] [1641547600.508800, 289.947000]: publishing the poses
[INFO] [1641547601.510745, 290.947000]: publishing the poses
[INFO] [1641547602.512797, 291.947000]: publishing the poses
[INFO] [1641547603.513900, 292.947000]: publishing the poses
[INFO] [1641547604.516584, 293.947000]: publishing the poses
[INFO] [1641547605.517712, 294.947000]: publishing the poses
[INFO] [1641547606.519644, 295.947000]: publishing the poses
