[INFO] [1641555548.132176, 28.521000]: publishing the poses
[INFO] [1641555548.231488, 28.621000]: publishing the poses
[INFO] [1641555548.331688, 28.721000]: publishing the poses
[INFO] [1641555548.431736, 28.821000]: publishing the poses
[INFO] [1641555548.532253, 28.921000]: publishing the poses
[INFO] [1641555548.632501, 29.021000]: publishing the poses
[INFO] [1641555548.732761, 29.121000]: publishing the poses
[INFO] [1641555548.832436, 29.221000]: publishing the poses
[INFO] [1641555548.932594, 29.321000]: publishing the poses
[INFO] [1641555549.032732, 29.421000]: publishing the poses
[INFO] [1641555549.132670, 29.521000]: publishing the poses
[INFO] [1641555549.233094, 29.621000]: publishing the poses
[INFO] [1641555549.333139, 29.721000]: publishing the poses
[INFO] [1641555549.432879, 29.821000]: publishing the poses
[INFO] [1641555549.533214, 29.921000]: publishing the poses
[INFO] [1641555549.633528, 30.021000]: publishing the poses
[INFO] [1641555549.733943, 30.121000]: publishing the poses
[INFO] [1641555549.833837, 30.221000]: publishing the poses
[INFO] [1641555549.934967, 30.321000]: publishing the poses
[INFO] [1641555550.036006, 30.421000]: publishing the poses
[INFO] [1641555550.136153, 30.521000]: publishing the poses
[INFO] [1641555550.236442, 30.621000]: publishing the poses
[INFO] [1641555550.336765, 30.721000]: publishing the poses
[INFO] [1641555550.438156, 30.821000]: publishing the poses
[INFO] [1641555550.539037, 30.921000]: publishing the poses
[INFO] [1641555550.639055, 31.021000]: publishing the poses
[INFO] [1641555550.739228, 31.121000]: publishing the poses
[INFO] [1641555550.840024, 31.221000]: publishing the poses
[INFO] [1641555550.940181, 31.321000]: publishing the poses
[INFO] [1641555551.040429, 31.421000]: publishing the poses
[INFO] [1641555551.140475, 31.521000]: publishing the poses
[INFO] [1641555551.241599, 31.621000]: publishing the poses
[INFO] [1641555551.342196, 31.721000]: publishing the poses
[INFO] [1641555551.442011, 31.821000]: publishing the poses
[INFO] [1641555551.541335, 31.921000]: publishing the poses
[INFO] [1641555551.641367, 32.021000]: publishing the poses
[INFO] [1641555551.741589, 32.121000]: publishing the poses
[INFO] [1641555551.841696, 32.221000]: publishing the poses
[INFO] [1641555551.941508, 32.321000]: publishing the poses
[INFO] [1641555552.041494, 32.421000]: publishing the poses
[INFO] [1641555552.141754, 32.521000]: publishing the poses
[INFO] [1641555552.241430, 32.621000]: publishing the poses
[INFO] [1641555552.341299, 32.721000]: publishing the poses
[INFO] [1641555552.441258, 32.821000]: publishing the poses
[INFO] [1641555552.540738, 32.921000]: publishing the poses
[INFO] [1641555552.641480, 33.021000]: publishing the poses
[INFO] [1641555552.741636, 33.121000]: publishing the poses
[INFO] [1641555552.841748, 33.221000]: publishing the poses
[INFO] [1641555552.941704, 33.321000]: publishing the poses
[INFO] [1641555553.041444, 33.421000]: publishing the poses
[INFO] [1641555553.141771, 33.521000]: publishing the poses
[INFO] [1641555553.241847, 33.621000]: publishing the poses
[INFO] [1641555553.342623, 33.721000]: publishing the poses
[INFO] [1641555553.443572, 33.821000]: publishing the poses
[INFO] [1641555553.543808, 33.921000]: publishing the poses
[INFO] [1641555553.643940, 34.021000]: publishing the poses
[INFO] [1641555553.743888, 34.121000]: publishing the poses
[INFO] [1641555553.844087, 34.221000]: publishing the poses
[INFO] [1641555553.943994, 34.321000]: publishing the poses
[INFO] [1641555554.044502, 34.421000]: publishing the poses
[INFO] [1641555554.144792, 34.521000]: publishing the poses
[INFO] [1641555554.245043, 34.621000]: publishing the poses
[INFO] [1641555554.344870, 34.721000]: publishing the poses
[INFO] [1641555554.444606, 34.821000]: publishing the poses
[INFO] [1641555554.544687, 34.921000]: publishing the poses
[INFO] [1641555554.645326, 35.021000]: publishing the poses
[INFO] [1641555554.745878, 35.121000]: publishing the poses
[INFO] [1641555554.845856, 35.221000]: publishing the poses
[INFO] [1641555554.945896, 35.321000]: publishing the poses
[INFO] [1641555555.045832, 35.421000]: publishing the poses
[INFO] [1641555555.146482, 35.521000]: publishing the poses
[INFO] [1641555555.246918, 35.621000]: publishing the poses
[INFO] [1641555555.348004, 35.721000]: publishing the poses
[INFO] [1641555555.448186, 35.821000]: publishing the poses
