[INFO] [1641624425.301583, 167.647000]: publishing the poses
[INFO] [1641624425.400999, 167.747000]: publishing the poses
[INFO] [1641624425.502930, 167.847000]: publishing the poses
[INFO] [1641624425.602151, 167.947000]: publishing the poses
[INFO] [1641624425.701785, 168.047000]: publishing the poses
[INFO] [1641624425.801371, 168.147000]: publishing the poses
[INFO] [1641624425.901352, 168.247000]: publishing the poses
[INFO] [1641624426.001754, 168.347000]: publishing the poses
[INFO] [1641624426.101467, 168.447000]: publishing the poses
[INFO] [1641624426.201223, 168.547000]: publishing the poses
[INFO] [1641624426.301528, 168.647000]: publishing the poses
[INFO] [1641624426.401876, 168.747000]: publishing the poses
[INFO] [1641624426.501942, 168.847000]: publishing the poses
[INFO] [1641624426.602350, 168.947000]: publishing the poses
[INFO] [1641624426.702411, 169.047000]: publishing the poses
[INFO] [1641624426.802280, 169.147000]: publishing the poses
[INFO] [1641624426.902147, 169.247000]: publishing the poses
[INFO] [1641624427.002263, 169.347000]: publishing the poses
[INFO] [1641624427.102649, 169.447000]: publishing the poses
[INFO] [1641624427.202659, 169.547000]: publishing the poses
[INFO] [1641624427.302999, 169.647000]: publishing the poses
[INFO] [1641624427.402988, 169.747000]: publishing the poses
[INFO] [1641624427.502707, 169.847000]: publishing the poses
[INFO] [1641624427.603026, 169.947000]: publishing the poses
[INFO] [1641624427.702789, 170.047000]: publishing the poses
[INFO] [1641624427.803392, 170.147000]: publishing the poses
[INFO] [1641624427.904277, 170.247000]: publishing the poses
[INFO] [1641624428.004409, 170.347000]: publishing the poses
[INFO] [1641624428.105462, 170.447000]: publishing the poses
[INFO] [1641624428.205837, 170.547000]: publishing the poses
[INFO] [1641624428.306227, 170.647000]: publishing the poses
[INFO] [1641624428.406409, 170.747000]: publishing the poses
[INFO] [1641624428.506762, 170.847000]: publishing the poses
[INFO] [1641624428.607199, 170.947000]: publishing the poses
[INFO] [1641624428.707031, 171.047000]: publishing the poses
[INFO] [1641624428.807923, 171.147000]: publishing the poses
[INFO] [1641624428.907954, 171.247000]: publishing the poses
[INFO] [1641624429.007522, 171.347000]: publishing the poses
[INFO] [1641624429.107396, 171.447000]: publishing the poses
[INFO] [1641624429.207775, 171.547000]: publishing the poses
[INFO] [1641624429.307742, 171.647000]: publishing the poses
[INFO] [1641624429.409603, 171.747000]: publishing the poses
[INFO] [1641624429.510510, 171.847000]: publishing the poses
[INFO] [1641624429.611532, 171.947000]: publishing the poses
[INFO] [1641624429.712235, 172.047000]: publishing the poses
[INFO] [1641624429.813684, 172.147000]: publishing the poses
[INFO] [1641624429.912610, 172.247000]: publishing the poses
[INFO] [1641624430.012927, 172.347000]: publishing the poses
[INFO] [1641624430.114485, 172.447000]: publishing the poses
[INFO] [1641624430.214508, 172.547000]: publishing the poses
[INFO] [1641624430.315351, 172.647000]: publishing the poses
[INFO] [1641624430.415863, 172.747000]: publishing the poses
[INFO] [1641624430.515991, 172.847000]: publishing the poses
[INFO] [1641624430.617575, 172.947000]: publishing the poses
[INFO] [1641624430.717963, 173.047000]: publishing the poses
[INFO] [1641624430.818361, 173.147000]: publishing the poses
[INFO] [1641624430.918284, 173.247000]: publishing the poses
[INFO] [1641624431.018503, 173.347000]: publishing the poses
[INFO] [1641624431.119023, 173.447000]: publishing the poses
[INFO] [1641624431.219618, 173.547000]: publishing the poses
[INFO] [1641624431.320534, 173.647000]: publishing the poses
[INFO] [1641624431.421008, 173.747000]: publishing the poses
[INFO] [1641624431.520913, 173.847000]: publishing the poses
[INFO] [1641624431.621696, 173.947000]: publishing the poses
[INFO] [1641624431.722262, 174.047000]: publishing the poses
[INFO] [1641624431.822704, 174.147000]: publishing the poses
[INFO] [1641624431.924034, 174.247000]: publishing the poses
[INFO] [1641624432.023993, 174.347000]: publishing the poses
[INFO] [1641624432.124892, 174.447000]: publishing the poses
[INFO] [1641624432.226249, 174.547000]: publishing the poses
[INFO] [1641624432.326680, 174.647000]: publishing the poses
[INFO] [1641624432.426345, 174.747000]: publishing the poses
[INFO] [1641624432.526617, 174.847000]: publishing the poses
[INFO] [1641624432.627103, 174.947000]: publishing the poses
[INFO] [1641624432.726892, 175.047000]: publishing the poses
[INFO] [1641624432.828046, 175.147000]: publishing the poses
[INFO] [1641624432.928320, 175.247000]: publishing the poses
[INFO] [1641624433.029061, 175.348000]: publishing the poses
[INFO] [1641624433.128547, 175.447000]: publishing the poses
[INFO] [1641624433.232394, 175.550000]: publishing the poses
[INFO] [1641624433.329647, 175.647000]: publishing the poses
[INFO] [1641624433.430418, 175.747000]: publishing the poses
[INFO] [1641624433.531287, 175.847000]: publishing the poses
[INFO] [1641624433.631950, 175.947000]: publishing the poses
[INFO] [1641624433.733546, 176.047000]: publishing the poses
[INFO] [1641624433.833893, 176.147000]: publishing the poses
[INFO] [1641624433.934005, 176.247000]: publishing the poses
[INFO] [1641624434.034416, 176.347000]: publishing the poses
[INFO] [1641624434.134407, 176.447000]: publishing the poses
[INFO] [1641624434.237663, 176.547000]: publishing the poses
[INFO] [1641624434.337385, 176.647000]: publishing the poses
[INFO] [1641624434.438391, 176.747000]: publishing the poses
[INFO] [1641624434.538520, 176.847000]: publishing the poses
[INFO] [1641624434.639645, 176.947000]: publishing the poses
[INFO] [1641624434.742834, 177.047000]: publishing the poses
[INFO] [1641624434.843410, 177.147000]: publishing the poses
[INFO] [1641624434.944150, 177.247000]: publishing the poses
[INFO] [1641624435.044622, 177.347000]: publishing the poses
[INFO] [1641624435.145462, 177.447000]: publishing the poses
[INFO] [1641624435.245760, 177.547000]: publishing the poses
[INFO] [1641624435.345957, 177.647000]: publishing the poses
[INFO] [1641624435.445938, 177.747000]: publishing the poses
[INFO] [1641624435.546242, 177.847000]: publishing the poses
[INFO] [1641624435.646931, 177.947000]: publishing the poses
[INFO] [1641624435.746930, 178.047000]: publishing the poses
[INFO] [1641624435.847733, 178.147000]: publishing the poses
[INFO] [1641624435.948566, 178.247000]: publishing the poses
[INFO] [1641624436.049252, 178.347000]: publishing the poses
[INFO] [1641624436.149124, 178.447000]: publishing the poses
[INFO] [1641624436.249079, 178.547000]: publishing the poses
[INFO] [1641624436.349246, 178.647000]: publishing the poses
[INFO] [1641624436.449977, 178.747000]: publishing the poses
[INFO] [1641624436.550105, 178.847000]: publishing the poses
[INFO] [1641624436.650756, 178.947000]: publishing the poses
[INFO] [1641624436.751001, 179.047000]: publishing the poses
[INFO] [1641624436.852007, 179.147000]: publishing the poses
[INFO] [1641624436.952137, 179.247000]: publishing the poses
[INFO] [1641624437.052916, 179.347000]: publishing the poses
[INFO] [1641624437.153131, 179.447000]: publishing the poses
[INFO] [1641624437.253670, 179.547000]: publishing the poses
[INFO] [1641624437.354565, 179.647000]: publishing the poses
[INFO] [1641624437.456388, 179.747000]: publishing the poses
[INFO] [1641624437.556334, 179.847000]: publishing the poses
[INFO] [1641624437.656783, 179.947000]: publishing the poses
[INFO] [1641624437.757773, 180.047000]: publishing the poses
[INFO] [1641624437.858356, 180.147000]: publishing the poses
[INFO] [1641624437.958742, 180.247000]: publishing the poses
[INFO] [1641624438.058172, 180.347000]: publishing the poses
[INFO] [1641624438.158863, 180.447000]: publishing the poses
[INFO] [1641624438.258938, 180.547000]: publishing the poses
[INFO] [1641624438.359790, 180.647000]: publishing the poses
[INFO] [1641624438.459436, 180.747000]: publishing the poses
[INFO] [1641624438.559392, 180.847000]: publishing the poses
[INFO] [1641624438.662171, 180.947000]: publishing the poses
[INFO] [1641624438.762837, 181.047000]: publishing the poses
[INFO] [1641624438.863255, 181.147000]: publishing the poses
[INFO] [1641624438.964081, 181.247000]: publishing the poses
[INFO] [1641624439.063738, 181.347000]: publishing the poses
[INFO] [1641624439.164330, 181.447000]: publishing the poses
[INFO] [1641624439.264925, 181.547000]: publishing the poses
