[rosmaster.main][INFO] 2022-01-06 22:18:28,564: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-06 22:18:28,564: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-06 22:18:28,564: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-06 22:18:28,565: Started XML-RPC server [http://prajwal-IdeaPad-L340-15IRH-Gaming:11311/]
[rosmaster.master][INFO] 2022-01-06 22:18:28,565: Master initialized: port[11311], uri[http://prajwal-IdeaPad-L340-15IRH-Gaming:11311/]
[xmlrpc][INFO] 2022-01-06 22:18:28,565: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-06 22:18:28,650: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-06 22:18:28,651: +PARAM [/roslaunch/uris/host_prajwal_ideapad_l340_15irh_gaming__43373] by /roslaunch
[rosmaster.master][INFO] 2022-01-06 22:18:28,725: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-01-06 22:18:28,725: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-01-06 22:18:28,735: +SERVICE [/rosout/get_loggers] /rosout http://prajwal-IdeaPad-L340-15IRH-Gaming:44707/
[rosmaster.master][INFO] 2022-01-06 22:18:28,735: +SERVICE [/rosout/set_logger_level] /rosout http://prajwal-IdeaPad-L340-15IRH-Gaming:44707/
[rosmaster.master][INFO] 2022-01-06 22:18:28,736: +PUB [/rosout_agg] /rosout http://prajwal-IdeaPad-L340-15IRH-Gaming:44707/
[rosmaster.master][INFO] 2022-01-06 22:18:28,738: +SUB [/rosout] /rosout http://prajwal-IdeaPad-L340-15IRH-Gaming:44707/
[rosmaster.master][INFO] 2022-01-06 22:18:29,135: -PUB [/rosout_agg] /rosout http://prajwal-IdeaPad-L340-15IRH-Gaming:44707/
[rosmaster.master][INFO] 2022-01-06 22:18:29,136: -SUB [/rosout] /rosout http://prajwal-IdeaPad-L340-15IRH-Gaming:44707/
[rosmaster.master][INFO] 2022-01-06 22:18:29,136: -SERVICE [/rosout/get_loggers] /rosout rosrpc://prajwal-IdeaPad-L340-15IRH-Gaming:48777
[rosmaster.master][INFO] 2022-01-06 22:18:29,137: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://prajwal-IdeaPad-L340-15IRH-Gaming:48777
[rosmaster.main][INFO] 2022-01-06 22:18:29,234: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-01-06 22:18:29,234: stopping master...
[rospy.core][INFO] 2022-01-06 22:18:29,235: signal_shutdown [atexit]
