[INFO] [1641490320.422027, 29.262000]: publishing the poses
[INFO] [1641490321.428712, 30.262000]: publishing the poses
[INFO] [1641490322.433609, 31.262000]: publishing the poses
[INFO] [1641490323.438786, 32.262000]: publishing the poses
[INFO] [1641490324.440750, 33.262000]: publishing the poses
[INFO] [1641490325.445747, 34.262000]: publishing the poses
[INFO] [1641490326.448624, 35.262000]: publishing the poses
[INFO] [1641490327.451924, 36.262000]: publishing the poses
[INFO] [1641490328.457618, 37.262000]: publishing the poses
[INFO] [1641490329.461428, 38.262000]: publishing the poses
[INFO] [1641490330.465411, 39.262000]: publishing the poses
[INFO] [1641490331.469625, 40.262000]: publishing the poses
[INFO] [1641490332.472408, 41.262000]: publishing the poses
[INFO] [1641490333.475689, 42.262000]: publishing the poses
[INFO] [1641490334.478535, 43.262000]: publishing the poses
[INFO] [1641490335.483137, 44.262000]: publishing the poses
[INFO] [1641490336.485788, 45.262000]: publishing the poses
[INFO] [1641490337.489628, 46.262000]: publishing the poses
[INFO] [1641490338.492729, 47.262000]: publishing the poses
[INFO] [1641490339.496746, 48.262000]: publishing the poses
[INFO] [1641490340.501450, 49.262000]: publishing the poses
[INFO] [1641490341.506023, 50.262000]: publishing the poses
[INFO] [1641490342.510401, 51.262000]: publishing the poses
[INFO] [1641490343.513701, 52.262000]: publishing the poses
[INFO] [1641490344.517290, 53.262000]: publishing the poses
[INFO] [1641490345.522763, 54.262000]: publishing the poses
[INFO] [1641490346.527453, 55.262000]: publishing the poses
[INFO] [1641490347.530857, 56.262000]: publishing the poses
[INFO] [1641490348.534513, 57.262000]: publishing the poses
[INFO] [1641490349.537398, 58.262000]: publishing the poses
[INFO] [1641490350.541795, 59.262000]: publishing the poses
[INFO] [1641490351.546567, 60.262000]: publishing the poses
[INFO] [1641490352.549140, 61.262000]: publishing the poses
[INFO] [1641490353.551571, 62.262000]: publishing the poses
[INFO] [1641490354.560428, 63.262000]: publishing the poses
[INFO] [1641490355.571250, 64.262000]: publishing the poses
[INFO] [1641490356.574814, 65.262000]: publishing the poses
[INFO] [1641490357.577695, 66.262000]: publishing the poses
[INFO] [1641490358.581400, 67.262000]: publishing the poses
[INFO] [1641490359.582690, 68.262000]: publishing the poses
[INFO] [1641490360.589430, 69.262000]: publishing the poses
[INFO] [1641490361.593663, 70.262000]: publishing the poses
[INFO] [1641490362.596495, 71.262000]: publishing the poses
[INFO] [1641490363.598823, 72.262000]: publishing the poses
[INFO] [1641490364.603451, 73.262000]: publishing the poses
[INFO] [1641490365.608907, 74.262000]: publishing the poses
[INFO] [1641490366.611402, 75.262000]: publishing the poses
[INFO] [1641490367.616736, 76.262000]: publishing the poses
[INFO] [1641490368.619582, 77.262000]: publishing the poses
[INFO] [1641490369.623230, 78.262000]: publishing the poses
[INFO] [1641490370.626829, 79.262000]: publishing the poses
[INFO] [1641490371.629701, 80.262000]: publishing the poses
[INFO] [1641490372.632683, 81.262000]: publishing the poses
[INFO] [1641490373.638769, 82.262000]: publishing the poses
[INFO] [1641490374.640618, 83.262000]: publishing the poses
[INFO] [1641490375.647695, 84.262000]: publishing the poses
[INFO] [1641490376.651070, 85.262000]: publishing the poses
[INFO] [1641490377.654822, 86.262000]: publishing the poses
[INFO] [1641490378.657807, 87.262000]: publishing the poses
[INFO] [1641490379.660143, 88.262000]: publishing the poses
[INFO] [1641490380.662149, 89.262000]: publishing the poses
[INFO] [1641490381.664775, 90.262000]: publishing the poses
[INFO] [1641490382.666828, 91.262000]: publishing the poses
[INFO] [1641490383.671010, 92.262000]: publishing the poses
[INFO] [1641490384.676439, 93.262000]: publishing the poses
[INFO] [1641490385.682279, 94.262000]: publishing the poses
[INFO] [1641490386.687908, 95.262000]: publishing the poses
[INFO] [1641490387.691003, 96.262000]: publishing the poses
[INFO] [1641490388.697104, 97.262000]: publishing the poses
[INFO] [1641490389.705186, 98.262000]: publishing the poses
[INFO] [1641490390.707796, 99.262000]: publishing the poses
[INFO] [1641490391.711128, 100.262000]: publishing the poses
[INFO] [1641490392.716796, 101.262000]: publishing the poses
[INFO] [1641490393.720763, 102.262000]: publishing the poses
[INFO] [1641490394.723808, 103.262000]: publishing the poses
[INFO] [1641490395.725830, 104.262000]: publishing the poses
[INFO] [1641490396.730057, 105.262000]: publishing the poses
[INFO] [1641490397.734275, 106.262000]: publishing the poses
[INFO] [1641490398.737987, 107.262000]: publishing the poses
[INFO] [1641490399.739585, 108.262000]: publishing the poses
[INFO] [1641490400.742852, 109.262000]: publishing the poses
[INFO] [1641490401.748648, 110.262000]: publishing the poses
[INFO] [1641490402.752969, 111.262000]: publishing the poses
[INFO] [1641490403.755210, 112.262000]: publishing the poses
[INFO] [1641490404.761124, 113.262000]: publishing the poses
[INFO] [1641490405.766145, 114.262000]: publishing the poses
[INFO] [1641490406.770420, 115.262000]: publishing the poses
[INFO] [1641490407.772989, 116.262000]: publishing the poses
[INFO] [1641490408.776098, 117.262000]: publishing the poses
[INFO] [1641490409.776770, 118.262000]: publishing the poses
[INFO] [1641490410.787547, 119.262000]: publishing the poses
[INFO] [1641490411.791724, 120.262000]: publishing the poses
[INFO] [1641490412.795686, 121.262000]: publishing the poses
[INFO] [1641490413.801722, 122.262000]: publishing the poses
[INFO] [1641490414.808253, 123.262000]: publishing the poses
[INFO] [1641490415.811597, 124.262000]: publishing the poses
[INFO] [1641490416.814544, 125.262000]: publishing the poses
[INFO] [1641490417.821749, 126.262000]: publishing the poses
[INFO] [1641490418.825244, 127.262000]: publishing the poses
