[INFO] [1641629061.502229, 8.791000]: publishing the poses
[INFO] [1641629061.601922, 8.891000]: publishing the poses
[INFO] [1641629061.702039, 8.991000]: publishing the poses
[INFO] [1641629061.802440, 9.091000]: publishing the poses
[INFO] [1641629061.902710, 9.191000]: publishing the poses
[INFO] [1641629062.004079, 9.291000]: publishing the poses
[INFO] [1641629062.104610, 9.391000]: publishing the poses
[INFO] [1641629062.204710, 9.491000]: publishing the poses
[INFO] [1641629062.304761, 9.591000]: publishing the poses
[INFO] [1641629062.404515, 9.691000]: publishing the poses
[INFO] [1641629062.504117, 9.791000]: publishing the poses
[INFO] [1641629062.604912, 9.891000]: publishing the poses
[INFO] [1641629062.704929, 9.991000]: publishing the poses
[INFO] [1641629062.804711, 10.091000]: publishing the poses
[INFO] [1641629062.905804, 10.191000]: publishing the poses
[INFO] [1641629063.006664, 10.291000]: publishing the poses
[INFO] [1641629063.107239, 10.391000]: publishing the poses
[INFO] [1641629063.207909, 10.491000]: publishing the poses
[INFO] [1641629063.308300, 10.591000]: publishing the poses
[INFO] [1641629063.408803, 10.691000]: publishing the poses
[INFO] [1641629063.508068, 10.791000]: publishing the poses
[INFO] [1641629063.608247, 10.891000]: publishing the poses
[INFO] [1641629063.708341, 10.991000]: publishing the poses
[INFO] [1641629063.809068, 11.091000]: publishing the poses
[INFO] [1641629063.909391, 11.191000]: publishing the poses
[INFO] [1641629064.009324, 11.291000]: publishing the poses
[INFO] [1641629064.109091, 11.391000]: publishing the poses
[INFO] [1641629064.209852, 11.491000]: publishing the poses
[INFO] [1641629064.310124, 11.591000]: publishing the poses
[INFO] [1641629064.410180, 11.691000]: publishing the poses
[INFO] [1641629064.509578, 11.791000]: publishing the poses
[INFO] [1641629064.610307, 11.891000]: publishing the poses
[INFO] [1641629064.709843, 11.991000]: publishing the poses
[INFO] [1641629064.809961, 12.091000]: publishing the poses
[INFO] [1641629064.910051, 12.191000]: publishing the poses
[INFO] [1641629065.010023, 12.291000]: publishing the poses
[INFO] [1641629065.114068, 12.391000]: publishing the poses
[INFO] [1641629065.212981, 12.491000]: publishing the poses
[INFO] [1641629065.312583, 12.591000]: publishing the poses
[INFO] [1641629065.413134, 12.691000]: publishing the poses
[INFO] [1641629065.513439, 12.791000]: publishing the poses
[INFO] [1641629065.614257, 12.891000]: publishing the poses
[INFO] [1641629065.714586, 12.991000]: publishing the poses
[INFO] [1641629065.814616, 13.091000]: publishing the poses
[INFO] [1641629065.914420, 13.191000]: publishing the poses
[INFO] [1641629066.015654, 13.291000]: publishing the poses
[INFO] [1641629066.116112, 13.391000]: publishing the poses
[INFO] [1641629066.216104, 13.491000]: publishing the poses
[INFO] [1641629066.316509, 13.591000]: publishing the poses
[INFO] [1641629066.417476, 13.691000]: publishing the poses
[INFO] [1641629066.517209, 13.791000]: publishing the poses
[INFO] [1641629066.617796, 13.891000]: publishing the poses
[INFO] [1641629066.718397, 13.991000]: publishing the poses
[INFO] [1641629066.819047, 14.091000]: publishing the poses
[INFO] [1641629066.919162, 14.191000]: publishing the poses
[INFO] [1641629067.019078, 14.291000]: publishing the poses
[INFO] [1641629067.120107, 14.391000]: publishing the poses
[INFO] [1641629067.221153, 14.491000]: publishing the poses
[INFO] [1641629067.320591, 14.591000]: publishing the poses
[INFO] [1641629067.421975, 14.691000]: publishing the poses
[INFO] [1641629067.523313, 14.791000]: publishing the poses
[INFO] [1641629067.624305, 14.891000]: publishing the poses
[INFO] [1641629067.724422, 14.991000]: publishing the poses
[INFO] [1641629067.824478, 15.091000]: publishing the poses
[INFO] [1641629067.925150, 15.191000]: publishing the poses
[INFO] [1641629068.025576, 15.291000]: publishing the poses
[INFO] [1641629068.125967, 15.391000]: publishing the poses
[INFO] [1641629068.227190, 15.491000]: publishing the poses
[INFO] [1641629068.327594, 15.591000]: publishing the poses
[INFO] [1641629068.428189, 15.691000]: publishing the poses
[INFO] [1641629068.528189, 15.791000]: publishing the poses
[INFO] [1641629068.628456, 15.891000]: publishing the poses
[INFO] [1641629068.728004, 15.991000]: publishing the poses
[INFO] [1641629068.827973, 16.091000]: publishing the poses
[INFO] [1641629068.929091, 16.191000]: publishing the poses
[INFO] [1641629069.030085, 16.291000]: publishing the poses
[INFO] [1641629069.130418, 16.391000]: publishing the poses
[INFO] [1641629069.230699, 16.491000]: publishing the poses
[INFO] [1641629069.331295, 16.591000]: publishing the poses
[INFO] [1641629069.431394, 16.691000]: publishing the poses
[INFO] [1641629069.531834, 16.791000]: publishing the poses
[INFO] [1641629069.632278, 16.891000]: publishing the poses
[INFO] [1641629069.732148, 16.991000]: publishing the poses
[INFO] [1641629069.833041, 17.091000]: publishing the poses
[INFO] [1641629069.933237, 17.191000]: publishing the poses
[INFO] [1641629070.033293, 17.291000]: publishing the poses
[INFO] [1641629070.133122, 17.391000]: publishing the poses
[INFO] [1641629070.233585, 17.491000]: publishing the poses
[INFO] [1641629070.333753, 17.591000]: publishing the poses
[INFO] [1641629070.434169, 17.691000]: publishing the poses
[INFO] [1641629070.534377, 17.791000]: publishing the poses
[INFO] [1641629070.634790, 17.891000]: publishing the poses
[INFO] [1641629070.735235, 17.991000]: publishing the poses
[INFO] [1641629070.835410, 18.091000]: publishing the poses
[INFO] [1641629070.936020, 18.191000]: publishing the poses
[INFO] [1641629071.035973, 18.291000]: publishing the poses
[INFO] [1641629071.136248, 18.391000]: publishing the poses
[INFO] [1641629071.236991, 18.491000]: publishing the poses
[INFO] [1641629071.337137, 18.591000]: publishing the poses
[INFO] [1641629071.437202, 18.691000]: publishing the poses
[INFO] [1641629071.537259, 18.791000]: publishing the poses
[INFO] [1641629071.637951, 18.891000]: publishing the poses
[INFO] [1641629071.737134, 18.991000]: publishing the poses
[INFO] [1641629071.838159, 19.091000]: publishing the poses
[INFO] [1641629071.938353, 19.191000]: publishing the poses
[INFO] [1641629072.039344, 19.291000]: publishing the poses
[INFO] [1641629072.139241, 19.391000]: publishing the poses
