[INFO] [1641553052.842210, 8.235000]: publishing the poses
[INFO] [1641553052.943343, 8.335000]: publishing the poses
[INFO] [1641553053.042400, 8.435000]: publishing the poses
[INFO] [1641553053.142339, 8.535000]: publishing the poses
[INFO] [1641553053.241778, 8.635000]: publishing the poses
[INFO] [1641553053.341730, 8.735000]: publishing the poses
[INFO] [1641553053.441989, 8.835000]: publishing the poses
[INFO] [1641553053.542085, 8.935000]: publishing the poses
[INFO] [1641553053.642289, 9.035000]: publishing the poses
[INFO] [1641553053.742659, 9.135000]: publishing the poses
[INFO] [1641553053.842588, 9.235000]: publishing the poses
[INFO] [1641553053.943106, 9.335000]: publishing the poses
[INFO] [1641553054.042460, 9.435000]: publishing the poses
[INFO] [1641553054.142737, 9.535000]: publishing the poses
[INFO] [1641553054.242748, 9.635000]: publishing the poses
[INFO] [1641553054.342866, 9.735000]: publishing the poses
[INFO] [1641553054.443699, 9.835000]: publishing the poses
[INFO] [1641553054.544186, 9.935000]: publishing the poses
[INFO] [1641553054.645324, 10.035000]: publishing the poses
[INFO] [1641553054.746031, 10.135000]: publishing the poses
[INFO] [1641553054.846314, 10.235000]: publishing the poses
[INFO] [1641553054.946211, 10.335000]: publishing the poses
[INFO] [1641553055.047486, 10.435000]: publishing the poses
[INFO] [1641553055.148060, 10.535000]: publishing the poses
[INFO] [1641553055.247986, 10.635000]: publishing the poses
[INFO] [1641553055.348858, 10.735000]: publishing the poses
[INFO] [1641553055.448778, 10.835000]: publishing the poses
[INFO] [1641553055.549104, 10.935000]: publishing the poses
[INFO] [1641553055.649284, 11.035000]: publishing the poses
[INFO] [1641553055.749977, 11.135000]: publishing the poses
[INFO] [1641553055.849747, 11.235000]: publishing the poses
[INFO] [1641553055.949983, 11.335000]: publishing the poses
[INFO] [1641553056.049813, 11.435000]: publishing the poses
[INFO] [1641553056.150522, 11.535000]: publishing the poses
[INFO] [1641553056.250972, 11.635000]: publishing the poses
[INFO] [1641553056.351728, 11.735000]: publishing the poses
[INFO] [1641553056.451641, 11.835000]: publishing the poses
[INFO] [1641553056.552169, 11.935000]: publishing the poses
[INFO] [1641553056.652493, 12.035000]: publishing the poses
[INFO] [1641553056.753072, 12.135000]: publishing the poses
[INFO] [1641553056.853019, 12.235000]: publishing the poses
