[INFO] [1641553503.617558, 14.480000]: publishing the poses
[INFO] [1641553503.717761, 14.581000]: publishing the poses
[INFO] [1641553503.816614, 14.680000]: publishing the poses
[INFO] [1641553503.916599, 14.780000]: publishing the poses
[INFO] [1641553504.016682, 14.880000]: publishing the poses
[INFO] [1641553504.116841, 14.980000]: publishing the poses
[INFO] [1641553504.217404, 15.080000]: publishing the poses
[INFO] [1641553504.317743, 15.180000]: publishing the poses
[INFO] [1641553504.417097, 15.280000]: publishing the poses
[INFO] [1641553504.516835, 15.380000]: publishing the poses
[INFO] [1641553504.616818, 15.480000]: publishing the poses
[INFO] [1641553504.717280, 15.580000]: publishing the poses
[INFO] [1641553504.817508, 15.680000]: publishing the poses
[INFO] [1641553504.917504, 15.780000]: publishing the poses
[INFO] [1641553505.017756, 15.880000]: publishing the poses
[INFO] [1641553505.118622, 15.980000]: publishing the poses
[INFO] [1641553505.218789, 16.080000]: publishing the poses
[INFO] [1641553505.318477, 16.180000]: publishing the poses
[INFO] [1641553505.419818, 16.280000]: publishing the poses
[INFO] [1641553505.520788, 16.380000]: publishing the poses
[INFO] [1641553505.620514, 16.480000]: publishing the poses
[INFO] [1641553505.721121, 16.580000]: publishing the poses
[INFO] [1641553505.821906, 16.680000]: publishing the poses
[INFO] [1641553505.921927, 16.780000]: publishing the poses
[INFO] [1641553506.022079, 16.880000]: publishing the poses
[INFO] [1641553506.122535, 16.980000]: publishing the poses
[INFO] [1641553506.222721, 17.080000]: publishing the poses
[INFO] [1641553506.322959, 17.180000]: publishing the poses
[INFO] [1641553506.422848, 17.280000]: publishing the poses
[INFO] [1641553506.522881, 17.380000]: publishing the poses
[INFO] [1641553506.622951, 17.480000]: publishing the poses
[INFO] [1641553506.723838, 17.580000]: publishing the poses
[INFO] [1641553506.823982, 17.680000]: publishing the poses
[INFO] [1641553506.923969, 17.780000]: publishing the poses
[INFO] [1641553507.024683, 17.880000]: publishing the poses
[INFO] [1641553507.123785, 17.980000]: publishing the poses
[INFO] [1641553507.223498, 18.080000]: publishing the poses
[INFO] [1641553507.323906, 18.180000]: publishing the poses
[INFO] [1641553507.424677, 18.280000]: publishing the poses
[INFO] [1641553507.526006, 18.380000]: publishing the poses
[INFO] [1641553507.626741, 18.480000]: publishing the poses
[INFO] [1641553507.727434, 18.580000]: publishing the poses
[INFO] [1641553507.830025, 18.680000]: publishing the poses
[INFO] [1641553507.930875, 18.780000]: publishing the poses
[INFO] [1641553508.031226, 18.880000]: publishing the poses
[INFO] [1641553508.131997, 18.980000]: publishing the poses
[INFO] [1641553508.231839, 19.080000]: publishing the poses
[INFO] [1641553508.331650, 19.180000]: publishing the poses
[INFO] [1641553508.431427, 19.280000]: publishing the poses
[INFO] [1641553508.531941, 19.380000]: publishing the poses
[INFO] [1641553508.631657, 19.480000]: publishing the poses
[INFO] [1641553508.731679, 19.580000]: publishing the poses
[INFO] [1641553508.831652, 19.680000]: publishing the poses
[INFO] [1641553508.931741, 19.780000]: publishing the poses
[INFO] [1641553509.031435, 19.880000]: publishing the poses
[INFO] [1641553509.131728, 19.980000]: publishing the poses
[INFO] [1641553509.231490, 20.080000]: publishing the poses
[INFO] [1641553509.331595, 20.180000]: publishing the poses
[INFO] [1641553509.431294, 20.280000]: publishing the poses
[INFO] [1641553509.531801, 20.380000]: publishing the poses
[INFO] [1641553509.632126, 20.480000]: publishing the poses
[INFO] [1641553509.732533, 20.580000]: publishing the poses
[INFO] [1641553509.832704, 20.680000]: publishing the poses
[INFO] [1641553509.932715, 20.780000]: publishing the poses
[INFO] [1641553510.032641, 20.880000]: publishing the poses
[INFO] [1641553510.133574, 20.980000]: publishing the poses
[INFO] [1641553510.233773, 21.080000]: publishing the poses
[INFO] [1641553510.333786, 21.180000]: publishing the poses
[INFO] [1641553510.433824, 21.280000]: publishing the poses
[INFO] [1641553510.534431, 21.380000]: publishing the poses
[INFO] [1641553510.634319, 21.480000]: publishing the poses
