[INFO] [1641549211.667409, 9.803000]: publishing the poses
[INFO] [1641549211.766948, 9.903000]: publishing the poses
[INFO] [1641549211.867821, 10.003000]: publishing the poses
[INFO] [1641549211.967721, 10.103000]: publishing the poses
[INFO] [1641549212.067575, 10.203000]: publishing the poses
[INFO] [1641549212.167693, 10.303000]: publishing the poses
[INFO] [1641549212.267744, 10.403000]: publishing the poses
[INFO] [1641549212.368371, 10.503000]: publishing the poses
[INFO] [1641549212.468119, 10.603000]: publishing the poses
[INFO] [1641549212.568242, 10.703000]: publishing the poses
[INFO] [1641549212.668768, 10.803000]: publishing the poses
[INFO] [1641549212.768801, 10.903000]: publishing the poses
[INFO] [1641549212.868747, 11.003000]: publishing the poses
[INFO] [1641549212.968867, 11.103000]: publishing the poses
[INFO] [1641549213.069172, 11.203000]: publishing the poses
[INFO] [1641549213.169496, 11.303000]: publishing the poses
[INFO] [1641549213.269849, 11.403000]: publishing the poses
[INFO] [1641549213.369676, 11.503000]: publishing the poses
[INFO] [1641549213.469935, 11.603000]: publishing the poses
[INFO] [1641549213.570917, 11.703000]: publishing the poses
[INFO] [1641549213.671534, 11.803000]: publishing the poses
[INFO] [1641549213.772333, 11.903000]: publishing the poses
[INFO] [1641549213.872497, 12.003000]: publishing the poses
[INFO] [1641549213.972907, 12.103000]: publishing the poses
[INFO] [1641549214.073752, 12.203000]: publishing the poses
[INFO] [1641549214.174027, 12.303000]: publishing the poses
[INFO] [1641549214.274725, 12.403000]: publishing the poses
[INFO] [1641549214.374805, 12.503000]: publishing the poses
[INFO] [1641549214.474803, 12.603000]: publishing the poses
[INFO] [1641549214.575280, 12.703000]: publishing the poses
[INFO] [1641549214.675892, 12.803000]: publishing the poses
[INFO] [1641549214.776483, 12.903000]: publishing the poses
[INFO] [1641549214.875992, 13.003000]: publishing the poses
[INFO] [1641549214.976757, 13.103000]: publishing the poses
[INFO] [1641549215.076428, 13.203000]: publishing the poses
[INFO] [1641549215.176890, 13.303000]: publishing the poses
[INFO] [1641549215.277145, 13.403000]: publishing the poses
[INFO] [1641549215.377633, 13.503000]: publishing the poses
[INFO] [1641549215.477959, 13.603000]: publishing the poses
[INFO] [1641549215.577874, 13.703000]: publishing the poses
[INFO] [1641549215.677875, 13.803000]: publishing the poses
[INFO] [1641549215.777711, 13.903000]: publishing the poses
[INFO] [1641549215.877512, 14.003000]: publishing the poses
[INFO] [1641549215.977716, 14.103000]: publishing the poses
[INFO] [1641549216.077698, 14.203000]: publishing the poses
[INFO] [1641549216.177647, 14.303000]: publishing the poses
[INFO] [1641549216.277699, 14.403000]: publishing the poses
[INFO] [1641549216.378275, 14.503000]: publishing the poses
[INFO] [1641549216.477430, 14.603000]: publishing the poses
[INFO] [1641549216.577520, 14.703000]: publishing the poses
[INFO] [1641549216.677681, 14.803000]: publishing the poses
[INFO] [1641549216.778005, 14.903000]: publishing the poses
[INFO] [1641549216.877837, 15.003000]: publishing the poses
[INFO] [1641549216.977924, 15.103000]: publishing the poses
[INFO] [1641549217.078230, 15.203000]: publishing the poses
[INFO] [1641549217.178471, 15.303000]: publishing the poses
[INFO] [1641549217.278704, 15.403000]: publishing the poses
[INFO] [1641549217.378838, 15.503000]: publishing the poses
[INFO] [1641549217.479331, 15.603000]: publishing the poses
[INFO] [1641549217.579330, 15.703000]: publishing the poses
[INFO] [1641549217.679778, 15.803000]: publishing the poses
[INFO] [1641549217.779816, 15.903000]: publishing the poses
[INFO] [1641549217.880489, 16.003000]: publishing the poses
[INFO] [1641549217.981231, 16.103000]: publishing the poses
[INFO] [1641549218.080983, 16.203000]: publishing the poses
