[INFO] [1641623958.710562, 19.566000]: publishing the poses
[INFO] [1641623958.810653, 19.666000]: publishing the poses
[INFO] [1641623958.911080, 19.766000]: publishing the poses
[INFO] [1641623959.011014, 19.866000]: publishing the poses
[INFO] [1641623959.110979, 19.966000]: publishing the poses
[INFO] [1641623959.210997, 20.066000]: publishing the poses
[INFO] [1641623959.311169, 20.166000]: publishing the poses
[INFO] [1641623959.411269, 20.266000]: publishing the poses
[INFO] [1641623959.511351, 20.366000]: publishing the poses
[INFO] [1641623959.612830, 20.466000]: publishing the poses
[INFO] [1641623959.712521, 20.566000]: publishing the poses
[INFO] [1641623959.813581, 20.666000]: publishing the poses
[INFO] [1641623959.913882, 20.766000]: publishing the poses
[INFO] [1641623960.013849, 20.866000]: publishing the poses
[INFO] [1641623960.114687, 20.966000]: publishing the poses
[INFO] [1641623960.215400, 21.066000]: publishing the poses
[INFO] [1641623960.315969, 21.166000]: publishing the poses
[INFO] [1641623960.416772, 21.266000]: publishing the poses
[INFO] [1641623960.517071, 21.366000]: publishing the poses
[INFO] [1641623960.617256, 21.466000]: publishing the poses
[INFO] [1641623960.718028, 21.566000]: publishing the poses
[INFO] [1641623960.818440, 21.666000]: publishing the poses
[INFO] [1641623960.918863, 21.766000]: publishing the poses
[INFO] [1641623961.019486, 21.866000]: publishing the poses
[INFO] [1641623961.119112, 21.966000]: publishing the poses
[INFO] [1641623961.219431, 22.066000]: publishing the poses
[INFO] [1641623961.320111, 22.166000]: publishing the poses
[INFO] [1641623961.420479, 22.266000]: publishing the poses
[INFO] [1641623961.521183, 22.366000]: publishing the poses
[INFO] [1641623961.621173, 22.466000]: publishing the poses
[INFO] [1641623961.721255, 22.566000]: publishing the poses
[INFO] [1641623961.821927, 22.666000]: publishing the poses
[INFO] [1641623961.922922, 22.766000]: publishing the poses
[INFO] [1641623962.024427, 22.866000]: publishing the poses
[INFO] [1641623962.125779, 22.966000]: publishing the poses
[INFO] [1641623962.228584, 23.066000]: publishing the poses
[INFO] [1641623962.327984, 23.166000]: publishing the poses
[INFO] [1641623962.428102, 23.266000]: publishing the poses
[INFO] [1641623962.527982, 23.366000]: publishing the poses
[INFO] [1641623962.628494, 23.466000]: publishing the poses
[INFO] [1641623962.729238, 23.566000]: publishing the poses
[INFO] [1641623962.830344, 23.666000]: publishing the poses
[INFO] [1641623962.929091, 23.766000]: publishing the poses
[INFO] [1641623963.030613, 23.866000]: publishing the poses
[INFO] [1641623963.131669, 23.966000]: publishing the poses
[INFO] [1641623963.232056, 24.066000]: publishing the poses
[INFO] [1641623963.332796, 24.166000]: publishing the poses
[INFO] [1641623963.433318, 24.266000]: publishing the poses
[INFO] [1641623963.533913, 24.366000]: publishing the poses
[INFO] [1641623963.634104, 24.466000]: publishing the poses
[INFO] [1641623963.734163, 24.566000]: publishing the poses
[INFO] [1641623963.834740, 24.666000]: publishing the poses
[INFO] [1641623963.935156, 24.766000]: publishing the poses
[INFO] [1641623964.036376, 24.866000]: publishing the poses
[INFO] [1641623964.137117, 24.966000]: publishing the poses
[INFO] [1641623964.237382, 25.066000]: publishing the poses
[INFO] [1641623964.337487, 25.166000]: publishing the poses
[INFO] [1641623964.437666, 25.266000]: publishing the poses
[INFO] [1641623964.538069, 25.366000]: publishing the poses
[INFO] [1641623964.639367, 25.466000]: publishing the poses
[INFO] [1641623964.739800, 25.566000]: publishing the poses
[INFO] [1641623964.840061, 25.666000]: publishing the poses
[INFO] [1641623964.940965, 25.766000]: publishing the poses
[INFO] [1641623965.041079, 25.866000]: publishing the poses
[INFO] [1641623965.141147, 25.966000]: publishing the poses
[INFO] [1641623965.241434, 26.066000]: publishing the poses
[INFO] [1641623965.341729, 26.166000]: publishing the poses
[INFO] [1641623965.442426, 26.266000]: publishing the poses
[INFO] [1641623965.542675, 26.366000]: publishing the poses
[INFO] [1641623965.643280, 26.466000]: publishing the poses
[INFO] [1641623965.743416, 26.566000]: publishing the poses
[INFO] [1641623965.843804, 26.666000]: publishing the poses
[INFO] [1641623965.944722, 26.766000]: publishing the poses
[INFO] [1641623966.045253, 26.866000]: publishing the poses
[INFO] [1641623966.145355, 26.966000]: publishing the poses
