[INFO] [1641553961.572479, 10.102000]: publishing the poses
[INFO] [1641553961.671662, 10.202000]: publishing the poses
[INFO] [1641553961.772259, 10.302000]: publishing the poses
[INFO] [1641553961.871766, 10.402000]: publishing the poses
[INFO] [1641553961.971952, 10.502000]: publishing the poses
[INFO] [1641553962.072015, 10.602000]: publishing the poses
[INFO] [1641553962.172510, 10.702000]: publishing the poses
[INFO] [1641553962.272714, 10.802000]: publishing the poses
[INFO] [1641553962.372574, 10.902000]: publishing the poses
[INFO] [1641553962.472643, 11.002000]: publishing the poses
[INFO] [1641553962.572835, 11.102000]: publishing the poses
[INFO] [1641553962.672767, 11.202000]: publishing the poses
[INFO] [1641553962.772794, 11.302000]: publishing the poses
[INFO] [1641553962.872876, 11.402000]: publishing the poses
[INFO] [1641553962.973487, 11.502000]: publishing the poses
[INFO] [1641553963.073731, 11.602000]: publishing the poses
[INFO] [1641553963.174871, 11.702000]: publishing the poses
[INFO] [1641553963.274915, 11.802000]: publishing the poses
[INFO] [1641553963.375396, 11.902000]: publishing the poses
[INFO] [1641553963.476941, 12.002000]: publishing the poses
[INFO] [1641553963.576746, 12.102000]: publishing the poses
[INFO] [1641553963.676626, 12.202000]: publishing the poses
[INFO] [1641553963.776497, 12.302000]: publishing the poses
[INFO] [1641553963.877166, 12.402000]: publishing the poses
[INFO] [1641553963.977761, 12.502000]: publishing the poses
[INFO] [1641553964.077815, 12.602000]: publishing the poses
[INFO] [1641553964.177694, 12.702000]: publishing the poses
[INFO] [1641553964.278774, 12.802000]: publishing the poses
[INFO] [1641553964.378057, 12.902000]: publishing the poses
[INFO] [1641553964.478515, 13.002000]: publishing the poses
[INFO] [1641553964.578512, 13.102000]: publishing the poses
[INFO] [1641553964.678668, 13.202000]: publishing the poses
[INFO] [1641553964.778862, 13.302000]: publishing the poses
[INFO] [1641553964.879939, 13.402000]: publishing the poses
[INFO] [1641553964.979842, 13.502000]: publishing the poses
[INFO] [1641553965.080168, 13.602000]: publishing the poses
[INFO] [1641553965.179757, 13.702000]: publishing the poses
[INFO] [1641553965.280207, 13.802000]: publishing the poses
[INFO] [1641553965.380380, 13.902000]: publishing the poses
[INFO] [1641553965.480011, 14.002000]: publishing the poses
[INFO] [1641553965.579752, 14.102000]: publishing the poses
[INFO] [1641553965.679655, 14.202000]: publishing the poses
[INFO] [1641553965.779618, 14.302000]: publishing the poses
[INFO] [1641553965.879537, 14.402000]: publishing the poses
[INFO] [1641553965.979607, 14.502000]: publishing the poses
[INFO] [1641553966.079580, 14.602000]: publishing the poses
[INFO] [1641553966.179628, 14.702000]: publishing the poses
[INFO] [1641553966.279441, 14.802000]: publishing the poses
[INFO] [1641553966.379449, 14.902000]: publishing the poses
[INFO] [1641553966.480154, 15.002000]: publishing the poses
[INFO] [1641553966.580271, 15.102000]: publishing the poses
[INFO] [1641553966.679986, 15.202000]: publishing the poses
[INFO] [1641553966.780451, 15.302000]: publishing the poses
[INFO] [1641553966.880213, 15.402000]: publishing the poses
[INFO] [1641553966.980643, 15.502000]: publishing the poses
[INFO] [1641553967.080541, 15.602000]: publishing the poses
[INFO] [1641553967.181331, 15.702000]: publishing the poses
[INFO] [1641553967.281964, 15.802000]: publishing the poses
[INFO] [1641553967.382126, 15.902000]: publishing the poses
[INFO] [1641553967.482507, 16.002000]: publishing the poses
[INFO] [1641553967.583066, 16.102000]: publishing the poses
[INFO] [1641553967.683011, 16.202000]: publishing the poses
[INFO] [1641553967.783030, 16.302000]: publishing the poses
[INFO] [1641553967.883486, 16.402000]: publishing the poses
[INFO] [1641553967.983778, 16.502000]: publishing the poses
[INFO] [1641553968.084050, 16.602000]: publishing the poses
[INFO] [1641553968.184438, 16.702000]: publishing the poses
[INFO] [1641553968.284583, 16.802000]: publishing the poses
[INFO] [1641553968.384891, 16.902000]: publishing the poses
[INFO] [1641553968.484581, 17.002000]: publishing the poses
[INFO] [1641553968.584760, 17.102000]: publishing the poses
[INFO] [1641553968.685257, 17.202000]: publishing the poses
[INFO] [1641553968.785839, 17.302000]: publishing the poses
[INFO] [1641553968.885748, 17.402000]: publishing the poses
[INFO] [1641553968.985844, 17.502000]: publishing the poses
[INFO] [1641553969.086246, 17.602000]: publishing the poses
[INFO] [1641553969.186622, 17.702000]: publishing the poses
[INFO] [1641553969.286503, 17.802000]: publishing the poses
[INFO] [1641553969.386704, 17.902000]: publishing the poses
[INFO] [1641553969.486855, 18.002000]: publishing the poses
[INFO] [1641553969.586597, 18.102000]: publishing the poses
[INFO] [1641553969.687625, 18.202000]: publishing the poses
[INFO] [1641553969.787998, 18.302000]: publishing the poses
[INFO] [1641553969.888493, 18.402000]: publishing the poses
[INFO] [1641553969.988640, 18.502000]: publishing the poses
[INFO] [1641553970.088746, 18.602000]: publishing the poses
[INFO] [1641553970.188837, 18.702000]: publishing the poses
[INFO] [1641553970.288694, 18.802000]: publishing the poses
[INFO] [1641553970.388757, 18.902000]: publishing the poses
[INFO] [1641553970.488928, 19.002000]: publishing the poses
[INFO] [1641553970.589529, 19.102000]: publishing the poses
[INFO] [1641553970.689772, 19.202000]: publishing the poses
[INFO] [1641553970.789585, 19.302000]: publishing the poses
[INFO] [1641553970.890190, 19.402000]: publishing the poses
[INFO] [1641553970.989918, 19.502000]: publishing the poses
[INFO] [1641553971.090851, 19.602000]: publishing the poses
[INFO] [1641553971.190631, 19.702000]: publishing the poses
[INFO] [1641553971.290748, 19.802000]: publishing the poses
[INFO] [1641553971.390907, 19.902000]: publishing the poses
[INFO] [1641553971.491349, 20.002000]: publishing the poses
[INFO] [1641553971.591588, 20.102000]: publishing the poses
[INFO] [1641553971.692091, 20.202000]: publishing the poses
[INFO] [1641553971.791648, 20.302000]: publishing the poses
[INFO] [1641553971.891858, 20.402000]: publishing the poses
[INFO] [1641553971.992479, 20.502000]: publishing the poses
[INFO] [1641553972.092909, 20.602000]: publishing the poses
[INFO] [1641553972.193331, 20.702000]: publishing the poses
[INFO] [1641553972.293489, 20.802000]: publishing the poses
[INFO] [1641553972.393145, 20.902000]: publishing the poses
[INFO] [1641553972.493668, 21.002000]: publishing the poses
[INFO] [1641553972.593680, 21.102000]: publishing the poses
[INFO] [1641553972.693900, 21.202000]: publishing the poses
[INFO] [1641553972.793799, 21.302000]: publishing the poses
[INFO] [1641553972.894996, 21.402000]: publishing the poses
[INFO] [1641553972.994890, 21.502000]: publishing the poses
[INFO] [1641553973.095043, 21.602000]: publishing the poses
[INFO] [1641553973.195016, 21.702000]: publishing the poses
[INFO] [1641553973.295730, 21.802000]: publishing the poses
[INFO] [1641553973.395883, 21.902000]: publishing the poses
[INFO] [1641553973.495854, 22.002000]: publishing the poses
[INFO] [1641553973.595814, 22.102000]: publishing the poses
[INFO] [1641553973.696614, 22.202000]: publishing the poses
[INFO] [1641553973.796328, 22.302000]: publishing the poses
[INFO] [1641553973.896282, 22.402000]: publishing the poses
[INFO] [1641553973.998810, 22.502000]: publishing the poses
[INFO] [1641553974.099748, 22.602000]: publishing the poses
[INFO] [1641553974.199674, 22.702000]: publishing the poses
[INFO] [1641553974.299950, 22.802000]: publishing the poses
[INFO] [1641553974.399855, 22.902000]: publishing the poses
[INFO] [1641553974.500469, 23.002000]: publishing the poses
[INFO] [1641553974.600747, 23.102000]: publishing the poses
[INFO] [1641553974.701213, 23.202000]: publishing the poses
[INFO] [1641553974.800806, 23.302000]: publishing the poses
[INFO] [1641553974.900994, 23.402000]: publishing the poses
[INFO] [1641553975.000943, 23.502000]: publishing the poses
[INFO] [1641553975.101671, 23.602000]: publishing the poses
[INFO] [1641553975.201870, 23.702000]: publishing the poses
[INFO] [1641553975.301894, 23.802000]: publishing the poses
[INFO] [1641553975.402036, 23.902000]: publishing the poses
[INFO] [1641553975.502436, 24.002000]: publishing the poses
[INFO] [1641553975.602872, 24.102000]: publishing the poses
[INFO] [1641553975.702659, 24.202000]: publishing the poses
[INFO] [1641553975.803061, 24.302000]: publishing the poses
[INFO] [1641553975.903489, 24.402000]: publishing the poses
