[INFO] [1641481758.586402, 1177.024000]: publishing the poses
[INFO] [1641481759.587379, 1178.024000]: publishing the poses
[INFO] [1641481760.590902, 1179.024000]: publishing the poses
[INFO] [1641481761.592712, 1180.024000]: publishing the poses
[INFO] [1641481762.595155, 1181.024000]: publishing the poses
[INFO] [1641481763.596849, 1182.024000]: publishing the poses
[INFO] [1641481764.596893, 1183.024000]: publishing the poses
[INFO] [1641481765.599704, 1184.024000]: publishing the poses
[INFO] [1641481766.603048, 1185.024000]: publishing the poses
[INFO] [1641481767.606211, 1186.024000]: publishing the poses
[INFO] [1641481768.608107, 1187.024000]: publishing the poses
[INFO] [1641481769.609831, 1188.024000]: publishing the poses
[INFO] [1641481770.613171, 1189.024000]: publishing the poses
[INFO] [1641481771.615023, 1190.024000]: publishing the poses
[INFO] [1641481772.617662, 1191.024000]: publishing the poses
[INFO] [1641481773.619921, 1192.024000]: publishing the poses
[INFO] [1641481774.622067, 1193.024000]: publishing the poses
[INFO] [1641481775.623946, 1194.024000]: publishing the poses
[INFO] [1641481776.626554, 1195.024000]: publishing the poses
[INFO] [1641481777.629344, 1196.024000]: publishing the poses
[INFO] [1641481778.631169, 1197.024000]: publishing the poses
[INFO] [1641481779.634492, 1198.024000]: publishing the poses
[INFO] [1641481780.637625, 1199.024000]: publishing the poses
[INFO] [1641481781.640065, 1200.024000]: publishing the poses
[INFO] [1641481782.642656, 1201.024000]: publishing the poses
[INFO] [1641481783.644862, 1202.024000]: publishing the poses
[INFO] [1641481784.645962, 1203.024000]: publishing the poses
[INFO] [1641481785.648524, 1204.024000]: publishing the poses
[INFO] [1641481786.650944, 1205.024000]: publishing the poses
[INFO] [1641481787.653096, 1206.024000]: publishing the poses
[INFO] [1641481788.656196, 1207.024000]: publishing the poses
[INFO] [1641481789.659925, 1208.024000]: publishing the poses
[INFO] [1641481790.661497, 1209.024000]: publishing the poses
[INFO] [1641481791.663177, 1210.024000]: publishing the poses
[INFO] [1641481792.664748, 1211.024000]: publishing the poses
[INFO] [1641481793.667208, 1212.024000]: publishing the poses
[INFO] [1641481794.669009, 1213.024000]: publishing the poses
[INFO] [1641481795.670913, 1214.024000]: publishing the poses
[INFO] [1641481796.672183, 1215.024000]: publishing the poses
[INFO] [1641481797.675079, 1216.024000]: publishing the poses
[INFO] [1641481798.676849, 1217.024000]: publishing the poses
[INFO] [1641481799.677978, 1218.024000]: publishing the poses
[INFO] [1641481800.680044, 1219.024000]: publishing the poses
[INFO] [1641481801.682424, 1220.024000]: publishing the poses
[INFO] [1641481802.684965, 1221.024000]: publishing the poses
[INFO] [1641481803.686481, 1222.024000]: publishing the poses
[INFO] [1641481804.689108, 1223.024000]: publishing the poses
[INFO] [1641481805.691544, 1224.024000]: publishing the poses
[INFO] [1641481806.693871, 1225.024000]: publishing the poses
[INFO] [1641481807.696011, 1226.024000]: publishing the poses
[INFO] [1641481808.697497, 1227.024000]: publishing the poses
[INFO] [1641481809.699469, 1228.024000]: publishing the poses
[INFO] [1641481810.701632, 1229.024000]: publishing the poses
[INFO] [1641481811.703368, 1230.024000]: publishing the poses
[INFO] [1641481812.705465, 1231.024000]: publishing the poses
[INFO] [1641481813.707680, 1232.024000]: publishing the poses
[INFO] [1641481814.709341, 1233.024000]: publishing the poses
[INFO] [1641481815.711032, 1234.024000]: publishing the poses
[INFO] [1641481816.713926, 1235.024000]: publishing the poses
[INFO] [1641481817.715976, 1236.024000]: publishing the poses
[INFO] [1641481818.718658, 1237.024000]: publishing the poses
[INFO] [1641481819.720981, 1238.024000]: publishing the poses
[INFO] [1641481820.723396, 1239.024000]: publishing the poses
[INFO] [1641481821.725367, 1240.024000]: publishing the poses
[INFO] [1641481822.726737, 1241.024000]: publishing the poses
[INFO] [1641481823.728999, 1242.024000]: publishing the poses
[INFO] [1641481824.729857, 1243.024000]: publishing the poses
[INFO] [1641481825.731028, 1244.024000]: publishing the poses
[INFO] [1641481826.736351, 1245.024000]: publishing the poses
[INFO] [1641481827.737134, 1246.024000]: publishing the poses
[INFO] [1641481828.741166, 1247.024000]: publishing the poses
[INFO] [1641481829.743071, 1248.024000]: publishing the poses
[INFO] [1641481830.745372, 1249.024000]: publishing the poses
[INFO] [1641481831.747016, 1250.024000]: publishing the poses
[INFO] [1641481832.748971, 1251.024000]: publishing the poses
[INFO] [1641481833.751501, 1252.024000]: publishing the poses
[INFO] [1641481834.752981, 1253.024000]: publishing the poses
[INFO] [1641481835.754435, 1254.024000]: publishing the poses
[INFO] [1641481836.755390, 1255.024000]: publishing the poses
[INFO] [1641481837.756974, 1256.024000]: publishing the poses
[INFO] [1641481838.758661, 1257.024000]: publishing the poses
