[INFO] [1641529587.819816, 30.113000]: publishing the poses
[INFO] [1641529588.818963, 31.113000]: publishing the poses
[INFO] [1641529589.821427, 32.113000]: publishing the poses
[INFO] [1641529590.826361, 33.113000]: publishing the poses
[INFO] [1641529591.828843, 34.113000]: publishing the poses
[INFO] [1641529592.830909, 35.113000]: publishing the poses
[INFO] [1641529593.834890, 36.113000]: publishing the poses
[INFO] [1641529594.835525, 37.113000]: publishing the poses
[INFO] [1641529595.836214, 38.113000]: publishing the poses
[INFO] [1641529596.839198, 39.113000]: publishing the poses
[INFO] [1641529597.841593, 40.113000]: publishing the poses
[INFO] [1641529598.843965, 41.113000]: publishing the poses
[INFO] [1641529599.848483, 42.113000]: publishing the poses
[INFO] [1641529600.850771, 43.113000]: publishing the poses
[INFO] [1641529601.852260, 44.113000]: publishing the poses
[INFO] [1641529602.856159, 45.113000]: publishing the poses
[INFO] [1641529603.858754, 46.113000]: publishing the poses
[INFO] [1641529604.861478, 47.113000]: publishing the poses
[INFO] [1641529605.863847, 48.113000]: publishing the poses
[INFO] [1641529606.866265, 49.113000]: publishing the poses
[INFO] [1641529607.868193, 50.113000]: publishing the poses
[INFO] [1641529608.870829, 51.113000]: publishing the poses
[INFO] [1641529609.873677, 52.113000]: publishing the poses
[INFO] [1641529610.877176, 53.113000]: publishing the poses
[INFO] [1641529611.878650, 54.113000]: publishing the poses
[INFO] [1641529612.880167, 55.113000]: publishing the poses
[INFO] [1641529613.881678, 56.113000]: publishing the poses
[INFO] [1641529614.883090, 57.113000]: publishing the poses
[INFO] [1641529615.885282, 58.113000]: publishing the poses
[INFO] [1641529616.887013, 59.113000]: publishing the poses
[INFO] [1641529617.890218, 60.113000]: publishing the poses
[INFO] [1641529618.891947, 61.113000]: publishing the poses
[INFO] [1641529619.895363, 62.113000]: publishing the poses
[INFO] [1641529620.899153, 63.113000]: publishing the poses
[INFO] [1641529621.902485, 64.113000]: publishing the poses
[INFO] [1641529622.905272, 65.113000]: publishing the poses
[INFO] [1641529623.908087, 66.113000]: publishing the poses
[INFO] [1641529624.910089, 67.113000]: publishing the poses
[INFO] [1641529625.913600, 68.113000]: publishing the poses
[INFO] [1641529626.916517, 69.113000]: publishing the poses
[INFO] [1641529627.918150, 70.113000]: publishing the poses
[INFO] [1641529628.919919, 71.113000]: publishing the poses
[INFO] [1641529629.923016, 72.113000]: publishing the poses
[INFO] [1641529630.925739, 73.113000]: publishing the poses
[INFO] [1641529631.927590, 74.113000]: publishing the poses
[INFO] [1641529632.930108, 75.113000]: publishing the poses
[INFO] [1641529633.930913, 76.113000]: publishing the poses
[INFO] [1641529634.932513, 77.113000]: publishing the poses
[INFO] [1641529635.937582, 78.113000]: publishing the poses
[INFO] [1641529636.940960, 79.113000]: publishing the poses
[INFO] [1641529637.942839, 80.113000]: publishing the poses
[INFO] [1641529638.944496, 81.113000]: publishing the poses
[INFO] [1641529639.946285, 82.113000]: publishing the poses
[INFO] [1641529640.948163, 83.113000]: publishing the poses
[INFO] [1641529641.950139, 84.113000]: publishing the poses
[INFO] [1641529642.952788, 85.113000]: publishing the poses
[INFO] [1641529643.954156, 86.113000]: publishing the poses
[INFO] [1641529644.956630, 87.113000]: publishing the poses
[INFO] [1641529645.960112, 88.113000]: publishing the poses
[INFO] [1641529646.963079, 89.113000]: publishing the poses
[INFO] [1641529647.966563, 90.113000]: publishing the poses
[INFO] [1641529648.970610, 91.113000]: publishing the poses
[INFO] [1641529649.972841, 92.113000]: publishing the poses
[INFO] [1641529650.975921, 93.113000]: publishing the poses
[INFO] [1641529651.977164, 94.113000]: publishing the poses
[INFO] [1641529652.981834, 95.113000]: publishing the poses
[INFO] [1641529653.984246, 96.113000]: publishing the poses
[INFO] [1641529654.985780, 97.113000]: publishing the poses
[INFO] [1641529655.987894, 98.113000]: publishing the poses
[INFO] [1641529656.994074, 99.113000]: publishing the poses
[INFO] [1641529657.996096, 100.113000]: publishing the poses
[INFO] [1641529658.999043, 101.113000]: publishing the poses
[INFO] [1641529660.000485, 102.113000]: publishing the poses
[INFO] [1641529661.002506, 103.113000]: publishing the poses
[INFO] [1641529662.005261, 104.113000]: publishing the poses
[INFO] [1641529663.008230, 105.113000]: publishing the poses
[INFO] [1641529664.013482, 106.113000]: publishing the poses
[INFO] [1641529665.018437, 107.113000]: publishing the poses
[INFO] [1641529666.019639, 108.113000]: publishing the poses
[INFO] [1641529667.022169, 109.113000]: publishing the poses
[INFO] [1641529668.024456, 110.113000]: publishing the poses
[INFO] [1641529669.027228, 111.113000]: publishing the poses
[INFO] [1641529670.030379, 112.113000]: publishing the poses
[INFO] [1641529671.031351, 113.113000]: publishing the poses
[INFO] [1641529672.033215, 114.113000]: publishing the poses
[INFO] [1641529673.037191, 115.113000]: publishing the poses
[INFO] [1641529674.039609, 116.113000]: publishing the poses
[INFO] [1641529675.041175, 117.113000]: publishing the poses
[INFO] [1641529676.042864, 118.113000]: publishing the poses
[INFO] [1641529677.045276, 119.113000]: publishing the poses
[INFO] [1641529678.047135, 120.113000]: publishing the poses
[INFO] [1641529679.049764, 121.113000]: publishing the poses
[INFO] [1641529680.052402, 122.113000]: publishing the poses
[INFO] [1641529681.052983, 123.113000]: publishing the poses
[INFO] [1641529682.055373, 124.113000]: publishing the poses
[INFO] [1641529683.058444, 125.113000]: publishing the poses
[INFO] [1641529684.060226, 126.113000]: publishing the poses
[INFO] [1641529685.062794, 127.113000]: publishing the poses
[INFO] [1641529686.064962, 128.113000]: publishing the poses
[INFO] [1641529687.066216, 129.113000]: publishing the poses
[INFO] [1641529688.070196, 130.113000]: publishing the poses
[INFO] [1641529689.073161, 131.113000]: publishing the poses
[INFO] [1641529690.074058, 132.113000]: publishing the poses
[INFO] [1641529691.079526, 133.113000]: publishing the poses
[INFO] [1641529692.082202, 134.113000]: publishing the poses
[INFO] [1641529693.084176, 135.113000]: publishing the poses
[INFO] [1641529694.086137, 136.113000]: publishing the poses
[INFO] [1641529695.089283, 137.113000]: publishing the poses
[INFO] [1641529696.092005, 138.113000]: publishing the poses
