[INFO] [1641630231.086848, 161.662000]: publishing the poses
[INFO] [1641630231.185496, 161.762000]: publishing the poses
[INFO] [1641630231.285319, 161.862000]: publishing the poses
[INFO] [1641630231.385286, 161.962000]: publishing the poses
[INFO] [1641630231.486197, 162.062000]: publishing the poses
[INFO] [1641630231.588327, 162.162000]: publishing the poses
[INFO] [1641630231.689556, 162.262000]: publishing the poses
[INFO] [1641630231.789696, 162.362000]: publishing the poses
[INFO] [1641630231.890269, 162.462000]: publishing the poses
[INFO] [1641630231.989872, 162.562000]: publishing the poses
[INFO] [1641630232.089848, 162.662000]: publishing the poses
[INFO] [1641630232.190050, 162.762000]: publishing the poses
[INFO] [1641630232.290053, 162.862000]: publishing the poses
[INFO] [1641630232.390049, 162.962000]: publishing the poses
[INFO] [1641630232.490019, 163.062000]: publishing the poses
[INFO] [1641630232.591036, 163.162000]: publishing the poses
[INFO] [1641630232.691950, 163.262000]: publishing the poses
[INFO] [1641630232.792125, 163.362000]: publishing the poses
[INFO] [1641630232.892645, 163.462000]: publishing the poses
[INFO] [1641630232.992556, 163.562000]: publishing the poses
[INFO] [1641630233.093767, 163.662000]: publishing the poses
[INFO] [1641630233.194723, 163.762000]: publishing the poses
[INFO] [1641630233.295512, 163.862000]: publishing the poses
[INFO] [1641630233.395394, 163.962000]: publishing the poses
[INFO] [1641630233.495379, 164.062000]: publishing the poses
[INFO] [1641630233.595507, 164.162000]: publishing the poses
[INFO] [1641630233.696470, 164.262000]: publishing the poses
[INFO] [1641630233.797060, 164.362000]: publishing the poses
[INFO] [1641630233.897433, 164.462000]: publishing the poses
[INFO] [1641630233.997846, 164.562000]: publishing the poses
[INFO] [1641630234.098267, 164.662000]: publishing the poses
[INFO] [1641630234.197985, 164.762000]: publishing the poses
[INFO] [1641630234.298167, 164.862000]: publishing the poses
[INFO] [1641630234.398596, 164.962000]: publishing the poses
[INFO] [1641630234.499730, 165.062000]: publishing the poses
[INFO] [1641630234.601110, 165.162000]: publishing the poses
[INFO] [1641630234.701360, 165.262000]: publishing the poses
[INFO] [1641630234.801822, 165.362000]: publishing the poses
[INFO] [1641630234.902363, 165.462000]: publishing the poses
[INFO] [1641630235.003068, 165.562000]: publishing the poses
[INFO] [1641630235.103215, 165.662000]: publishing the poses
[INFO] [1641630235.203879, 165.762000]: publishing the poses
[INFO] [1641630235.304038, 165.862000]: publishing the poses
[INFO] [1641630235.404236, 165.962000]: publishing the poses
[INFO] [1641630235.505158, 166.062000]: publishing the poses
[INFO] [1641630235.604648, 166.162000]: publishing the poses
[INFO] [1641630235.705264, 166.262000]: publishing the poses
[INFO] [1641630235.805278, 166.362000]: publishing the poses
[INFO] [1641630235.905201, 166.462000]: publishing the poses
[INFO] [1641630236.006086, 166.562000]: publishing the poses
[INFO] [1641630236.106779, 166.662000]: publishing the poses
[INFO] [1641630236.207181, 166.762000]: publishing the poses
[INFO] [1641630236.307801, 166.862000]: publishing the poses
[INFO] [1641630236.408227, 166.962000]: publishing the poses
[INFO] [1641630236.508482, 167.062000]: publishing the poses
[INFO] [1641630236.608695, 167.162000]: publishing the poses
[INFO] [1641630236.709313, 167.262000]: publishing the poses
[INFO] [1641630236.810617, 167.362000]: publishing the poses
[INFO] [1641630236.912532, 167.462000]: publishing the poses
[INFO] [1641630237.012778, 167.562000]: publishing the poses
[INFO] [1641630237.113348, 167.662000]: publishing the poses
