[INFO] [1641453166.947726, 4740.885000]: publishing the poses
[INFO] [1641453167.948139, 4741.885000]: publishing the poses
[INFO] [1641453168.951503, 4742.885000]: publishing the poses
[INFO] [1641453169.955588, 4743.885000]: publishing the poses
[INFO] [1641453170.957344, 4744.885000]: publishing the poses
[INFO] [1641453171.960422, 4745.885000]: publishing the poses
[INFO] [1641453172.963516, 4746.885000]: publishing the poses
[INFO] [1641453173.968722, 4747.885000]: publishing the poses
[INFO] [1641453174.970724, 4748.885000]: publishing the poses
[INFO] [1641453175.972947, 4749.885000]: publishing the poses
[INFO] [1641453176.976104, 4750.885000]: publishing the poses
[INFO] [1641453177.980445, 4751.885000]: publishing the poses
[INFO] [1641453178.983445, 4752.885000]: publishing the poses
[INFO] [1641453179.986661, 4753.885000]: publishing the poses
[INFO] [1641453180.990938, 4754.885000]: publishing the poses
[INFO] [1641453181.993569, 4755.885000]: publishing the poses
[INFO] [1641453182.998706, 4756.885000]: publishing the poses
[INFO] [1641453184.001799, 4757.885000]: publishing the poses
[INFO] [1641453185.004920, 4758.885000]: publishing the poses
