[INFO] [1641480246.382530, 477.852000]: publishing the poses
[INFO] [1641480247.382987, 478.852000]: publishing the poses
[INFO] [1641480248.386346, 479.852000]: publishing the poses
[INFO] [1641480249.389104, 480.852000]: publishing the poses
[INFO] [1641480250.389983, 481.852000]: publishing the poses
[INFO] [1641480251.394200, 482.852000]: publishing the poses
[INFO] [1641480252.394113, 483.852000]: publishing the poses
[INFO] [1641480253.395189, 484.852000]: publishing the poses
[INFO] [1641480254.400080, 485.852000]: publishing the poses
[INFO] [1641480255.401959, 486.852000]: publishing the poses
[INFO] [1641480256.404101, 487.852000]: publishing the poses
[INFO] [1641480257.408117, 488.852000]: publishing the poses
[INFO] [1641480258.410915, 489.852000]: publishing the poses
[INFO] [1641480259.413993, 490.852000]: publishing the poses
[INFO] [1641480260.415147, 491.852000]: publishing the poses
[INFO] [1641480261.417378, 492.852000]: publishing the poses
[INFO] [1641480262.419061, 493.852000]: publishing the poses
[INFO] [1641480263.421696, 494.852000]: publishing the poses
[INFO] [1641480264.423895, 495.852000]: publishing the poses
[INFO] [1641480265.426187, 496.852000]: publishing the poses
[INFO] [1641480266.430414, 497.852000]: publishing the poses
[INFO] [1641480267.433067, 498.852000]: publishing the poses
[INFO] [1641480268.433964, 499.852000]: publishing the poses
[INFO] [1641480269.437001, 500.852000]: publishing the poses
[INFO] [1641480270.439420, 501.852000]: publishing the poses
[INFO] [1641480271.440971, 502.852000]: publishing the poses
[INFO] [1641480272.443908, 503.852000]: publishing the poses
[INFO] [1641480273.445777, 504.852000]: publishing the poses
[INFO] [1641480274.449300, 505.852000]: publishing the poses
[INFO] [1641480275.452744, 506.852000]: publishing the poses
[INFO] [1641480276.454738, 507.852000]: publishing the poses
[INFO] [1641480277.457345, 508.852000]: publishing the poses
[INFO] [1641480278.459255, 509.852000]: publishing the poses
[INFO] [1641480279.461192, 510.852000]: publishing the poses
[INFO] [1641480280.462774, 511.852000]: publishing the poses
[INFO] [1641480281.465097, 512.852000]: publishing the poses
[INFO] [1641480282.466202, 513.852000]: publishing the poses
[INFO] [1641480283.468872, 514.852000]: publishing the poses
[INFO] [1641480284.470173, 515.852000]: publishing the poses
[INFO] [1641480285.472193, 516.852000]: publishing the poses
[INFO] [1641480286.473873, 517.852000]: publishing the poses
[INFO] [1641480287.475504, 518.852000]: publishing the poses
[INFO] [1641480288.477687, 519.852000]: publishing the poses
[INFO] [1641480289.480143, 520.852000]: publishing the poses
[INFO] [1641480290.485226, 521.852000]: publishing the poses
[INFO] [1641480291.487036, 522.852000]: publishing the poses
[INFO] [1641480292.488266, 523.852000]: publishing the poses
[INFO] [1641480293.491236, 524.852000]: publishing the poses
[INFO] [1641480294.495171, 525.852000]: publishing the poses
